function,overall_agreement
builtins.abs,0.67
builtins.all,0.11
builtins.any,0.08
builtins.ascii,0.28
builtins.bin,0.0
builtins.callable,0.28
builtins.chr,0.5
builtins.compile,0.47
builtins.delattr,0.42
builtins.dir,0.22
functools.cache,0.19
functools.cmp_to_key,0.16
functools.get_cache_token,0.5
functools.lru_cache,0.17
functools.namedtuple,0.4
functools.recursive_repr,0.25
functools.reduce,0.31
functools.singledispatch,0.11
functools.total_ordering,0.08
functools.update_wrapper,0.58
math.acos,0.08
math.acosh,0.42
math.asin,0.49
math.asinh,0.51
math.atan,0.5
math.atan2,0.08
math.atanh,0.67
math.cbrt,0.49
math.ceil,0.63
math.comb,0.67
operator.abs,0.05
operator.add,0.18
operator.and_,0.33
operator.call,0.5
operator.concat,0.19
operator.contains,0.11
operator.countOf,0.19
operator.delitem,0.0
operator.eq,0.28
operator.floordiv,0.25
random.getrandbits,0.18
random.random,0.33
statistics.acos,0.33
statistics.asin,0.16
statistics.atan,0.11
statistics.bisect_left,0.08
statistics.bisect_right,0.08
statistics.correlation,0.17
statistics.cos,0.5
statistics.cosh,0.72
statistics.covariance,0.17
statistics.erf,0.17
